section,Trace,Comment,Length,Area,
13,2align2,,2.28796,0.0642848,
13,2align3,,2.28796,0.0642848,
13,2align4,,2.28796,0.0642848,
13,2align5,,2.28791,0.0642839,
13,2align6,,2.28748,0.0642762,
13,2align7,,2.28748,0.0642762,
13,2align8,,2.28796,0.0642848,
13,2align9,,2.28796,0.0642848,
13,3align1,,1.54539,0.114765,
13,3align10,,1.54542,0.114769,
13,3align2,,1.54547,0.114777,
13,3align3,,1.54539,0.114765,
13,3align4,,1.54544,0.114772,
13,3align5,,1.54528,0.114749,
13,3align6,,1.54543,0.114772,
13,3align7,,1.54542,0.114769,
13,3align8,,1.54533,0.114757,
13,3align9,,1.54526,0.114746,
13,d001,,2.67003,0.499979,
13,D001,,0.46754,0.00758512,
13,d002,,2.64103,0.273503,
13,D002,,0.37,0.00475553,
13,d005,DDH traced 5/10/2019,2.43644,0.293093,
13,d005_o03,symmetric candidate,0.0755617,0.0002744,
13,d005_o04,,0.0806104,0.000406125,
13,d005_p03,DDH traced 5/10/2019,1.49071,0.042613,
13,d005_p04,DDH traced 5/10/2019,1.34652,0.0812545,
13,d005_p05,DDH traced 5/10/2019,0.899207,0.0306693,
13,d005_p05,DDH traced 5/10/2019,0.266209,0.00471455,
13,d005_SER_p04,,0.2414,0.00202206,
13,TEM FIELD,,35.965,80.6231,
14,1align1,,0.809629,0.0492014,
14,1align10,,0.809649,0.0492039,
14,1align2,,0.809649,0.0492039,
14,1align3,,0.809635,0.0492022,
14,1align4,,0.809649,0.0492039,
14,1align5,,0.809649,0.0492039,
14,1align6,,0.809649,0.0492039,
14,1align7,,0.809649,0.0492039,
14,1align8,,0.809649,0.0492039,
14,1align9,,0.809649,0.0492039,
14,2align1,,2.2578,0.0625962,
14,2align10,,2.25766,0.0625993,
14,2align11,,2.2577,0.0625917,
14,2align2,,2.2578,0.0625962,
14,2align3,,2.25775,0.062601,
14,2align4,,2.2577,0.0626025,
14,2align5,,2.25747,0.0626083,
14,2align6,,2.25767,0.0625887,
14,2align7,,2.25756,0.0626056,
14,2align8,,2.25791,0.0625909,
14,2align9,,2.25787,0.0625887,
14,d001,,2.75245,0.51987,
14,D001,,0.46754,0.00759291,
14,d002,,2.34579,0.297354,
14,D002,,0.37,0.00476169,
14,d005,DDH traced 5/10/2019,2.50066,0.312416,
14,d005_o03,symmetric candidate,0.0754137,0.00027328,
14,d005_o04,,0.0806104,0.000406125,
14,d005_p04,DDH traced 5/10/2019,1.58082,0.118622,
14,d005_p05,DDH traced 5/10/2019,1.51527,0.056643,
14,d005_SER_p04,,0.2412,0.00202005,
14,mito03,,0.216752,0,
14,TEM FIELD,,35.965,80.6231,
15,10align1,,3.67037,0.362255,
15,10align10,,3.67037,0.362255,
15,10align2,,3.67035,0.362251,
15,10align3,,3.67035,0.362251,
15,10align4,,3.67037,0.362255,
15,10align5,,3.67037,0.362255,
15,10align6,,3.67035,0.362251,
15,10align7,,3.67019,0.362212,
15,10align8,,3.67037,0.362255,
15,10align9,,3.67037,0.362255,
15,1align1,,0.805341,0.0486843,
15,1align10,,0.805505,0.048703,
15,1align2,,0.805341,0.0486843,
15,1align3,,0.805374,0.0486881,
15,1align4,,0.805379,0.0486885,
15,1align5,,0.805428,0.0486945,
15,1align6,,0.805356,0.048686,
15,1align7,,0.805319,0.0486817,
15,1align8,,0.805319,0.0486817,
15,1align9,,0.805318,0.0486817,
15,d001,,2.80131,0.548329,
15,D001,,0.46756,0.0075933,
15,d001_o03,,0.0855438,0.000351651,
15,d002,,2.4025,0.31774,
15,D002,,0.37,0.00476169,
15,d005,DDH traced 5/10/2019,2.40088,0.307208,
15,d005_o03,symmetric candidate,0.0754137,0.00027328,
15,d005_o04,,0.0806104,0.000406125,
15,d005_p04,DDH traced 5/10/2019,1.60473,0.14661,
15,d005_p05,DDH traced 5/10/2019,1.50638,0.0533542,
15,d005_SER_p04,,0.2412,0.00202005,
15,mito03,,0.216752,0,
15,TEM FIELD,,35.965,80.6231,
16,10align1,,3.59559,0.347805,
16,10align10,,3.59574,0.347822,
16,10align2,,3.59563,0.347786,
16,10align3,,3.59557,0.347777,
16,10align4,,3.59578,0.347794,
16,10align5,,3.59562,0.34775,
16,10align6,,3.59562,0.34775,
16,10align7,,3.59556,0.347698,
16,10align8,,3.59549,0.34778,
16,10align9,,3.59549,0.34778,
16,9align1,,4.00195,0.555795,
16,9align10,,4.00195,0.555795,
16,9align2,,4.00195,0.555795,
16,9align3,,4.00195,0.555795,
16,9align4,,4.00195,0.555795,
16,9align5,,4.00175,0.555762,
16,9align6,,4.00194,0.555793,
16,9align7,,4.00155,0.555728,
16,9align8,,4.00195,0.555795,
16,9align9,,4.00195,0.555795,
16,d001,,2.79154,0.540262,
16,D001,,0.46756,0.00758551,
16,d001_o03,,0.0855438,0.000351651,
16,d002,,2.60506,0.366711,
16,D002,,0.3702,0.00475862,
16,d005,DDH traced 5/10/2019,2.36991,0.318659,
16,d005_o03,symmetric candidate,0.0754137,0.00027328,
16,d005_p04,DDH traced 5/10/2019,1.6116,0.166945,
